,first_name,last_name,amount,margin,difference,type,rq
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,293,457.81,208.16,Appliances,0.58
5,Holmes HEPA Air Purifier,Carlos Soltero,515,30.94,21.78,Appliances,0.5
13,Holmes HEPA Air Purifier,Carlos Daly,868,134.72,21.78,Appliances,0.5
45,Hoover Portapower™ Portable Vacuum,Jim Radford,4612,-375.64,4.48,Appliances,0.6
57,APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,5894,-68.22,80.48,Appliances,0.55
74,3M Office Air Cleaner,Beth Paige,7906,271.78,25.98,Appliances,0.5
84,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,9126,884.08,62.05,Appliances,0.55
3,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Barry French,293,46.71,8.69,Binders and Binder Accessories,0.39
7,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,613,-54.04,7.3,Binders and Binder Accessories,0.38
15,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Claudia Miner,933,-4.72,5.28,Binders and Binder Accessories,0.37
24,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig,1539,-172.88,15.99,Binders and Binder Accessories,0.37
37,Avery Binder Labels,Eugene Barchas,2791,-236.27,3.89,Binders and Binder Accessories,0.37
41,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Brad Eason,3232,-11.83,7.84,Binders and Binder Accessories,0.35
50,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,5284,-3.05,8.69,Binders and Binder Accessories,0.39
56,Avery Arch Ring Binders,Ann Chong,5894,87.68,58.1,Binders and Binder Accessories,0.38
68,"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,6980,-77.28,7.3,Binders and Binder Accessories,0.38
79,Staples® General Use 3-Ring Binders,Beth Paige,8995,8.05,1.88,Binders and Binder Accessories,0.37
94,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Don Jones,10437,-191.22,15.99,Binders and Binder Accessories,0.37
18,Hon 4-Shelf Metal Bookcases,Sylvia Foulston,1154,440.72,100.98,Bookcases,0.6
70,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,6982,-338.27,100.98,Bookcases,0.78
90,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,9927,-270.63,140.98,Bookcases,0.65
36,Bevis Steel Folding Chairs,Julia West,2757,-1766.01,95.95,Chairs & Chairmats,0.57
38,Hon Every-Day® Chair Series Swivel Task Chairs,Eugene Barchas,2791,80.44,120.98,Chairs & Chairmats,0.64
40,Global Troy™ Executive Leather Low-Back Tilter,Edward Hooks,2976,3424.22,500.98,Chairs & Chairmats,0.6
72,SAFCO Arco Folding Chair,Grant Carroll,7110,1902.24,276.2,Chairs & Chairmats,
75,"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,8391,-268.36,300.98,Chairs & Chairmats,0.56
86,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Joy Bell,9509,2825.15,320.98,Chairs & Chairmats,0.57
91,"Lifetime Advantage™ Folding Chairs, 4/Carton",Grant Carroll,9927,3387.35,218.08,Chairs & Chairmats,0.57
14,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,868,114.46,47.98,Computer Peripherals,0.71
25,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,1539,-144.55,4.89,Computer Peripherals,0.66
31,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,2277,-46.03,5.98,Computer Peripherals,0.75
35,Fuji 5.2GB DVD-RAM,Jack Garza,2631,252.66,40.96,Computer Peripherals,0.55
51,"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,5316,514.07,31.78,Computer Peripherals,0.42
69,"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,6982,407.44,39.48,Computer Peripherals,0.54
92,Microsoft Natural Multimedia Keyboard,Grant Carroll,9927,-82.16,50.98,Computer Peripherals,0.73
28,Canon PC940 Copier,Carl Ludwig,1761,-547.61,449.99,Copiers and Fax,0.38
17,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt,998,93.8,15.74,Envelopes,0.4
73,"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,7430,353.2,15.67,Envelopes,0.38
